player,team,pos,rank,value,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Tobias Harris,SAS,PF,141,26.331,65.4,27.7,0.4691,10.31,0.8589,2.34,1.21,12.89,5.1,2.31,0.9,0.52,1.06
Bennedict Mathurin,LAC,SF/SG,128,27.594,62.3,28.5,0.4507,11.65,0.8561,5.13,1.36,16.25,5.15,2.19,0.73,0.29,1.9
Anthony Black,ORL,PG/SF/SG,148,25.688,66.7,26.3,0.4537,9.67,0.7468,2.96,1.22,12.21,3.46,3.26,1.22,0.63,1.76
Naji Marshall,DAL,PF/SF/SG,158,25.011,68.0,26.5,0.5058,9.77,0.7722,3.08,0.83,13.1,4.38,2.89,0.98,0.13,1.47
Dillon Brooks,PHX,PF/SF/SG,139,26.468,63.7,30.2,0.4321,14.03,0.8315,2.66,2.2,16.53,3.6,1.76,0.9,0.19,1.42
Kyle Filipowski,UTA,C/PF,170,24.119,69.5,20.9,0.505,7.5,0.7373,2.32,0.96,10.25,6.31,2.25,0.81,0.42,1.39
Ace Bailey,UTA,PF/SF,167,24.656,68.0,25.5,0.4605,11.26,0.7668,1.26,1.79,13.13,4.06,1.83,0.81,0.64,1.34
Jaime Jaquez,MIL,PF/SF/SG,166,24.674,67.7,24.2,0.5018,9.65,0.774,2.43,0.71,12.28,4.41,3.58,0.73,0.26,1.65
John Collins,DET,C/PF,129,27.461,60.8,27.1,0.5385,10.16,0.7932,2.58,1.3,14.29,6.0,1.29,0.84,0.77,1.58
Cedric Coward,MEM,SF/SG,140,26.399,63.0,24.6,0.4807,9.88,0.8433,2.57,1.45,13.12,5.6,2.69,0.65,0.43,1.56
Bobby Portis,MIA,C/PF,134,26.749,62.1,24.2,0.4812,11.12,0.7582,1.24,1.69,13.33,6.7,1.69,0.66,0.3,1.06
Kelly Oubre,IND,PF/SF,119,28.065,58.9,31.5,0.4624,11.33,0.7584,2.94,1.48,14.19,5.26,1.7,1.33,0.5,1.34
Deandre Ayton,WAS,C,133,26.803,61.7,26.1,0.6223,8.8,0.6711,1.72,0.11,12.21,7.84,1.07,0.62,0.86,1.24
Keldon Johnson,SAS,PF/SF,178,22.931,72.0,22.8,0.504,9.47,0.7899,2.36,1.19,12.59,4.95,1.54,0.58,0.2,0.91
Jakob Poeltl,TOR,C,115,28.664,57.1,26.0,0.6456,7.92,0.6349,2.22,0.11,11.74,7.61,2.31,0.92,0.91,1.48
Ayo Dosunmu,MIN,PG/SG,90,31.888,61.9,28.8,0.5118,12.7,0.8493,2.41,2.03,17.09,3.81,4.49,0.96,0.36,1.53
Joan Beringer,MIN,C,175,23.351,70,20.0,0.6064,6.68,0.7412,2.25,0.4,10.16,5.27,1.31,0.55,1.26,0.82
Kyrie Irving,DAL,PG/SG,38,40.481,41.8,34.2,0.4803,17.8,0.9012,4.05,2.75,23.5,4.75,4.6,1.2,0.46,2.0
Damian Lillard,POR,PG,49,37.501,43.5,32.0,0.4348,14.88,0.9113,5.65,2.74,20.83,4.2,5.84,1.01,0.22,2.4
Kristaps Porziņģis,GSW,C,83,32.568,49.9,25.5,0.467,12.09,0.8296,4.52,1.85,16.89,5.68,2.26,0.64,1.27,1.29
Santi Aldama,DAL,PF/SF,121,28.046,57.8,25.6,0.4814,9.92,0.6839,1.99,1.65,12.56,6.14,2.74,0.8,0.61,1.14
Anfernee Simons,PHI,PG/SG,145,25.965,62.4,27.0,0.4365,12.93,0.894,2.02,2.66,15.75,2.65,3.34,0.61,0.14,1.56
Jerami Grant,MEM,PF/SF,127,27.596,58.5,29.5,0.4311,12.32,0.8169,4.74,2.18,16.67,3.42,2.16,0.76,0.68,1.83
Kyle Kuzma,MIL,PF/SF,168,24.625,65.5,26.0,0.4665,10.91,0.7045,2.67,1.29,13.35,4.71,2.55,0.59,0.38,1.84
Aaron Nesmith,IND,SF/SG,155,25.169,64,29.0,0.4522,10.51,0.8388,2.3,2.19,13.63,4.3,1.82,0.73,0.53,1.22
Malik Monk,SAC,PG/SG,154,25.256,63.6,24.6,0.4405,11.26,0.8607,2.11,1.95,13.69,2.62,3.83,0.69,0.45,1.76
Bub Carrington,WAS,PG/SG,187,21.962,73.0,25.9,0.4326,8.28,0.7654,1.21,1.8,9.89,3.47,4.23,0.62,0.22,1.86
Saddiq Bey,NOP,PF/SF,104,29.474,53.8,29.8,0.4504,12.38,0.8388,3.74,1.94,16.24,5.42,2.34,0.89,0.13,0.93
Isaiah Collier,UTA,PG,161,24.81,63.8,23.8,0.4834,7.81,0.7265,2.8,0.54,10.12,2.8,6.26,0.99,0.3,2.33
Brook Lopez,LAC,C,181,22.476,70.5,24.8,0.4549,7.97,0.7866,1.27,1.52,9.77,4.0,1.45,0.59,1.37,0.91
Julian Champagnie,SAS,PF/SF/SG,189,21.549,73.0,24.2,0.4365,7.63,0.8539,1.43,2.09,9.97,4.7,1.47,0.71,0.44,0.83
Walker Kessler,LAL,C,65,34.964,44.9,29.4,0.638,7.51,0.5953,2.59,0.39,11.51,10.69,1.9,0.72,2.21,1.59
Keegan Murray,SAC,PF/SF,109,29.115,53.9,33.5,0.4437,11.59,0.8054,1.51,1.85,13.35,6.08,1.66,0.92,1.05,0.95
Kyshawn George,WAS,SF/SG,144,26.172,59.9,25.6,0.4323,9.47,0.7961,2.04,1.76,11.58,4.46,3.38,0.94,0.76,1.86
Dennis Schröder,CHA,PG/SG,177,23.117,67.8,24.7,0.4076,9.35,0.8304,2.68,1.25,11.11,2.63,4.72,0.77,0.17,1.72
Cameron Johnson,DEN,PF/SF/SG,122,27.863,59.6,31.5,0.4723,10.71,0.8548,2.72,2.33,14.78,4.23,2.84,0.85,0.41,1.23
Tre Jones,CHI,PG/SF/SG,150,25.52,61.3,24.5,0.5437,8.06,0.8391,2.67,0.64,11.64,3.08,4.92,1.03,0.19,1.23
Cason Wallace,OKC,PG/SF/SG,191,21.451,68.7,25.0,0.4613,6.99,0.8113,0.8,1.22,8.31,3.08,2.42,1.6,0.41,0.85
Christian Braun,DEN,SF/SG,131,26.85,60.9,32.0,0.5433,9.49,0.7976,2.49,1.09,13.39,5.07,2.68,0.86,0.4,1.01
Dylan Harper,SAS,PG/SG,173,23.383,66.5,21.3,0.5177,8.88,0.771,1.7,0.9,11.4,3.37,3.63,0.76,0.35,1.3
Yaxel Lendeborg,GSW,PF/SF,146,25.816,60.1,25.9,0.4702,9.55,0.7821,2.44,1.43,12.32,4.7,2.86,0.89,0.52,1.46
Royce O'Neale,CHA,PF/SF,188,21.942,70.4,25.4,0.4177,7.45,0.7238,0.51,2.34,8.93,4.44,2.39,0.92,0.41,1.11
Tari Eason,HOU,SF/SG,160,24.948,61.3,23.8,0.4477,9.1,0.7695,1.36,1.33,10.52,5.9,1.48,1.27,0.58,1.19
Grayson Allen,CHA,SF/SG,151,25.476,60.0,26.4,0.4251,10.16,0.8447,2.47,2.58,13.3,3.08,2.98,1.05,0.31,1.37
Mikel Brown,BKN,PG/SG,152,25.413,60.2,25.5,0.4702,9.4,0.7821,2.4,1.41,12.13,4.63,2.82,0.87,0.52,1.44
Peyton Watson,CLE,PF/SF,87,32.048,61.7,31.5,0.492,11.28,0.727,3.55,1.5,15.18,5.25,2.12,1.08,1.63,1.51
Bilal Coulibaly,WAS,PF/SF,162,24.794,60.6,25.8,0.4393,8.77,0.7536,2.77,1.06,10.86,4.23,2.57,1.18,0.78,1.46
Jordan Poole,NOP,PG/SG,143,26.233,57.2,24.9,0.4114,12.28,0.8693,3.03,2.54,15.28,2.45,3.46,0.85,0.36,2.1
Keaton Wagler,LAC,PG/SG,157,25.029,59.8,25.1,0.4702,9.26,0.7821,2.37,1.38,11.94,4.56,2.77,0.86,0.51,1.42
Precious Achiuwa,SAC,C/PF,184,22.061,67.3,22.1,0.5192,7.2,0.5855,1.66,0.37,8.82,6.11,1.31,0.82,0.69,0.88
Davion Mitchell,MIA,PG,186,22.02,67.4,26.6,0.4798,7.02,0.6755,1.03,1.19,8.63,2.5,5.35,0.89,0.18,1.48
Morez Johnson,DAL,C/PF,163,24.731,59.9,24.8,0.4702,9.15,0.7821,2.34,1.37,11.8,4.5,2.74,0.85,0.5,1.4
Kingston Flemings,ATL,PG/SG,165,24.693,60.0,24.7,0.4702,9.14,0.7821,2.33,1.37,11.78,4.5,2.74,0.85,0.5,1.4
